ltable_id,rtable_id
65,11129
193,19880
356,21591
396,7144
396,16859
396,17443
663,7135
1939,20177
2093,16311
2,18948
228,18948
1269,18948
1752,18948
1822,18948
3,12562
3,18950
191,1243
191,11197
191,12562
191,18950
1295,12562
1295,18950
1997,12451
1997,12562
1997,18950
2230,12562
2230,18950
502,11435
652,6708
687,20212
765,15415
906,3463
906,3469
906,11429
906,11438
975,13422
982,19096
1011,3461
1011,13413
1119,3471
1407,1444
1407,1477
1407,2109
1407,2639
1407,2686
1407,3466
1407,5156
1407,5414
1407,5415
1407,5422
1407,6156
1407,7433
1407,7445
1407,7446
1407,7447
1407,7922
1407,8029
1407,8152
1407,8796
1407,9215
1407,9398
1407,9399
1407,9467
1407,9470
1407,9937
1407,10066
1407,11417
1407,11428
1407,11432
1407,11440
1407,11444
1407,11445
1407,11895
1407,13416
1407,13420
1407,13421
1407,14029
1407,15408
1407,16042
1407,19270
1407,19374
1407,19375
1407,19411
1407,19451
1407,19697
1407,19928
1407,19991
1407,20211
1407,20791
1407,20980
1407,21441
1407,21856
1438,8107
1573,5415
1589,2645
1837,2686
1837,20211
1953,11438
2039,7443
2163,8469
9,2456
830,12416
830,16833
830,16897
830,17412
830,17822
830,18438
830,19119
830,20045
830,20691
830,20692
830,21281
830,21539
830,21686
850,8443
1612,247
1612,4937
1612,10425
1612,10655
1612,12416
1612,14360
1612,16551
1612,16783
1612,16833
1612,16897
1612,17305
1612,17370
1612,17412
1612,17492
1612,17493
1612,17821
1612,17822
1612,18436
1612,18437
1612,18438
1612,18904
1612,19119
1612,19228
1612,20045
1612,20405
1612,20691
1612,20692
1612,21281
1612,21686
1965,12416
1965,16833
1965,16897
1965,17412
1965,17822
1965,18438
1965,19119
1965,20045
1965,20691
1965,20692
1965,21281
1965,21539
1965,21686
2122,12416
2122,16833
2122,16897
2122,17412
2122,17822
2122,18438
2122,19119
2122,20045
2122,20691
2122,20692
2122,21281
2122,21686
2482,12416
2482,16833
2482,16897
2482,17412
2482,17491
2482,17822
2482,18438
2482,19119
2482,20045
2482,20691
2482,20692
2482,21281
2482,21539
2482,21682
2482,21686
2501,4362
2549,12416
2549,16833
2549,16897
2549,17412
2549,17491
2549,17822
2549,18438
2549,19119
2549,20045
2549,20691
2549,20692
2549,21281
2549,21682
2549,21686
6,9015
19,13057
73,6984
512,9060
647,18332
719,10964
839,18138
870,18332
908,13023
945,3103
945,11239
945,17752
983,1342
983,3057
983,4949
983,10978
983,10980
983,14937
983,16254
983,16391
983,16845
983,17117
983,18074
983,19594
983,20082
983,21457
1038,19035
1074,20740
1142,14277
1194,13030
1237,6974
1522,1025
1624,5013
1624,20158
1626,16605
1727,325
1727,1374
1727,4400
1727,4746
1727,4968
1727,4976
1727,5010
1727,5011
1727,5015
1727,6195
1727,6291
1727,6971
1727,6973
1727,7021
1727,8637
1727,8661
1727,8990
1727,9020
1727,9056
1727,9281
1727,10074
1727,10962
1727,11065
1727,11192
1727,11876
1727,13018
1727,14915
1727,14923
1727,14935
1727,14936
1727,15019
1727,15290
1727,16324
1727,17427
1727,17428
1727,18054
1727,18365
1727,18457
1727,18458
1727,18731
1727,18745
1727,18963
1727,19519
1727,19529
1727,20082
1727,20395
1727,20450
1727,20451
1727,20678
1727,20679
1727,20752
1727,21029
1727,21459
1727,21505
1727,21921
2084,3833
2133,10434
2158,4988
2199,20395
1666,6194
2217,19467
2243,481
2274,356
623,14735
1242,2465
1984,1120
23,309
23,404
23,2344
23,2353
23,2358
23,4887
23,6270
23,6273
23,6274
23,8009
23,8074
23,8215
23,8346
23,10315
23,10317
23,10536
23,11995
23,12208
23,12310
23,13465
23,13947
23,14249
23,14256
23,14646
23,16263
23,16291
23,16292
23,16451
23,16479
23,16480
23,16576
23,16577
23,16681
23,16759
23,16760
23,16761
23,16883
23,16884
23,16885
23,16886
23,16988
23,17050
23,17051
23,17113
23,17163
23,17164
23,17165
23,17166
23,17167
23,17168
23,17170
23,17171
23,17172
23,17350
23,17351
23,17469
23,17471
23,17472
23,17474
23,17476
23,17667
23,17808
23,17809
23,17810
23,17812
23,18001
23,18002
23,18124
23,18125
23,18126
23,18128
23,18129
23,18131
23,18303
23,18423
23,18424
23,18425
23,18426
23,18588
23,18684
23,19217
23,19847
23,20313
23,20595
23,21123
23,21125
23,21176
23,21213
23,21783
235,21783
272,8009
272,13947
272,18262
272,19443
272,21399
395,99
1174,12311
1174,19216
1386,2358
1457,309
1457,404
1457,2344
1457,2353
1457,2358
1457,4887
1457,6274
1457,8009
1457,8074
1457,8215
1457,8346
1457,10315
1457,10317
1457,10536
1457,11995
1457,12208
1457,12310
1457,13465
1457,13947
1457,14249
1457,14256
1457,14646
1457,16263
1457,16291
1457,16292
1457,16451
1457,16479
1457,16480
1457,16577
1457,16681
1457,16717
1457,16759
1457,16760
1457,16761
1457,16883
1457,16884
1457,16885
1457,16886
1457,16988
1457,17050
1457,17051
1457,17113
1457,17163
1457,17164
1457,17165
1457,17166
1457,17167
1457,17168
1457,17170
1457,17171
1457,17172
1457,17350
1457,17351
1457,17469
1457,17471
1457,17472
1457,17474
1457,17476
1457,17667
1457,17808
1457,17809
1457,17810
1457,17812
1457,18001
1457,18002
1457,18124
1457,18125
1457,18126
1457,18128
1457,18129
1457,18131
1457,18255
1457,18303
1457,18422
1457,18423
1457,18424
1457,18425
1457,18426
1457,18588
1457,18684
1457,19217
1457,19847
1457,20313
1457,20595
1457,21123
1457,21125
1457,21176
1457,21213
1457,21783
1885,2010
1989,309
1989,404
1989,2344
1989,2353
1989,2358
1989,4887
1989,8009
1989,8074
1989,8215
1989,8346
1989,10315
1989,10317
1989,10536
1989,11995
1989,12208
1989,12310
1989,13465
1989,13947
1989,14249
1989,14256
1989,14646
1989,16263
1989,16291
1989,16292
1989,16451
1989,16479
1989,16480
1989,16576
1989,16577
1989,16681
1989,16759
1989,16760
1989,16761
1989,16883
1989,16884
1989,16885
1989,16886
1989,16988
1989,17050
1989,17051
1989,17113
1989,17163
1989,17164
1989,17165
1989,17166
1989,17167
1989,17168
1989,17170
1989,17171
1989,17172
1989,17350
1989,17351
1989,17469
1989,17471
1989,17472
1989,17474
1989,17476
1989,17667
1989,17808
1989,17809
1989,17810
1989,17812
1989,18001
1989,18002
1989,18124
1989,18125
1989,18126
1989,18128
1989,18129
1989,18131
1989,18303
1989,18422
1989,18423
1989,18424
1989,18425
1989,18426
1989,18588
1989,18684
1989,19217
1989,19847
1989,20313
1989,20595
1989,21123
1989,21125
1989,21176
1989,21213
1989,21783
1345,256
1345,18989
1419,256
2256,256
2256,321
2256,807
2256,811
2256,970
2256,971
2256,2968
2256,2970
2256,4845
2256,4881
2256,5332
2256,5653
2256,5897
2256,6865
2256,6903
2256,7857
2256,7990
2256,8195
2256,8225
2256,8319
2256,8572
2256,10510
2256,10793
2256,10877
2256,10878
2256,10879
2256,11147
2256,12907
2256,12930
2256,13563
2256,14257
2256,16019
2256,16249
2256,16250
2256,16540
2256,16844
2256,16877
2256,17115
2256,17140
2256,17194
2256,17422
2256,17423
2256,17424
2256,17425
2256,17653
2256,17746
2256,17747
2256,18072
2256,18106
2256,18108
2256,18359
2256,18361
2256,18362
2256,18394
2256,18977
2256,18989
2256,19025
2256,19226
2256,19539
2256,19544
2256,19584
2256,19585
2256,19843
2256,19844
2256,20145
2256,20146
2256,20363
2256,21206
2256,21228
2256,21269
2256,21451
2256,21558
2256,21574
2256,21707
916,8910
1102,7853
2259,14834
22,16642
302,249
302,8156
302,9735
302,9834
302,10609
302,10610
302,11949
302,12640
302,12994
302,15603
302,16093
302,16204
302,16205
302,16208
302,16476
302,16501
302,16504
302,16505
302,16641
302,16645
302,16740
302,16742
302,16744
302,17077
302,17079
302,17080
302,17326
302,17327
302,17553
302,17648
302,17649
302,17703
302,17779
302,17987
302,18035
302,18068
302,18282
302,18326
302,18327
302,18328
302,18587
302,19250
302,19730
302,19801
302,19951
302,20079
302,21253
302,21284
302,22031
1117,249
1117,8156
1117,9735
1117,9834
1117,10609
1117,10610
1117,12640
1117,12994
1117,15603
1117,16093
1117,16204
1117,16205
1117,16208
1117,16476
1117,16501
1117,16504
1117,16505
1117,16641
1117,16645
1117,16740
1117,16742
1117,16744
1117,17077
1117,17080
1117,17314
1117,17326
1117,17327
1117,17648
1117,17649
1117,17703
1117,17779
1117,17987
1117,18035
1117,18068
1117,18282
1117,18326
1117,18327
1117,18328
1117,18587
1117,19250
1117,19730
1117,19801
1117,19951
1117,20079
1117,21253
1117,21284
1117,22031
1162,16642
2323,16642
2404,232
2404,249
2404,6954
2404,8156
2404,9735
2404,10609
2404,10610
2404,11949
2404,12640
2404,12994
2404,15603
2404,16093
2404,16204
2404,16205
2404,16208
2404,16476
2404,16501
2404,16505
2404,16641
2404,16645
2404,16729
2404,16740
2404,16742
2404,16744
2404,17077
2404,17079
2404,17327
2404,17553
2404,17648
2404,17649
2404,17703
2404,17779
2404,18068
2404,18282
2404,18325
2404,18326
2404,18327
2404,18328
2404,18587
2404,19251
2404,19801
2404,19951
2404,21284
2404,22031
26,537
1219,14406
64,8391
184,2959
1229,5842
1365,18372
2094,15247
2191,16173
312,13299
1183,2075
53,17892
165,532
165,533
165,2423
165,2812
165,2821
165,2828
165,3541
165,5452
165,6744
165,6746
165,6752
165,7917
165,8426
165,8492
165,8702
165,9160
165,9288
165,10489
165,12222
165,12474
165,12478
165,12724
165,12792
165,12795
165,13412
165,14403
165,14691
165,15402
165,16313
165,16329
165,16490
165,16927
165,17207
165,17504
165,17687
165,18085
165,18147
165,18636
165,18711
165,18751
165,19284
165,19367
165,19581
165,20123
165,20713
165,21098
165,21310
165,21736
